" 3D Run ID"	"Dist"	"L_ant2"	"W_ant2"	"Tables\0D Results\S1,1_2.45GHz"	"Tables\0D Results\S1,1_5.5GHz"	"Tables\0D Results\S1,1_6.5GHz"
"24"	"1"	"17"	"1.36579"	"-7.53748"	"-18.443"	"-10.3789"
"25"	"1"	"17"	"1.48439"	"-7.49957"	"-18.7046"	"-10.6323"
"26"	"1"	"17"	"1.37041"	"-7.54068"	"-18.4564"	"-10.3888"
"27"	"1"	"17"	"1.42627"	"-7.46441"	"-18.5464"	"-10.5172"
"28"	"1"	"17"	"1.41055"	"-7.56885"	"-18.5721"	"-10.4733"
"29"	"1.37059"	"17"	"1.33664"	"-8.12506"	"-9.93637"	"-10.7367"
"30"	"1.08511"	"17"	"1.46203"	"-7.6832"	"-15.0141"	"-10.6616"
"31"	"1"	"17"	"1.49106"	"-7.50361"	"-18.7225"	"-10.6451"
"32"	"1"	"17.0671"	"1.46568"	"-7.5154"	"-18.3727"	"-10.6881"
"33"	"1"	"17"	"1.44362"	"-7.47497"	"-18.594"	"-10.5523"
"34"	"1"	"17.1641"	"1.40817"	"-7.65535"	"-22.7248"	"-10.6952"
"35"	"1"	"17"	"1.5"	"-7.50891"	"-18.7463"	"-10.6621"
"36"	"1"	"17"	"1.48981"	"-7.5028"	"-18.7191"	"-10.6427"
"37"	"1"	"17"	"1.41446"	"-7.57159"	"-18.5833"	"-10.4813"
"38"	"1"	"18.3272"	"1.4884"	"-7.78201"	"-21.1719"	"-12.2423"
"39"	"1"	"17"	"1.49641"	"-7.50678"	"-18.7367"	"-10.6553"
"40"	"1.14605"	"17"	"1.5"	"-7.79176"	"-13.3522"	"-10.7833"
"41"	"1"	"17"	"1.43693"	"-7.47091"	"-18.5757"	"-10.5388"
"42"	"1.06052"	"17"	"1.46996"	"-7.73776"	"-15.7297"	"-10.6657"
"43"	"1"	"17"	"1.45946"	"-7.4845"	"-18.6371"	"-10.5838"
"44"	"1"	"17"	"1.49237"	"-7.50437"	"-18.7259"	"-10.6476"
"45"	"1.6456"	"17"	"1.5"	"-8.58258"	"-8.66272"	"-10.9219"
"46"	"1.49288"	"17"	"1.5"	"-8.23495"	"-9.25582"	"-10.9666"
"47"	"1.40778"	"17.0223"	"1.5"	"-8.30766"	"-9.71849"	"-10.9825"
"48"	"1"	"17.0178"	"1.5"	"-7.51618"	"-18.6701"	"-10.6863"
"49"	"1.10328"	"17.9"	"1.48764"	"-7.98581"	"-14.3215"	"-11.8661"
"50"	"1.38382"	"17.5388"	"1.49847"	"-8.41113"	"-10.661"	"-11.5834"
"51"	"2.06912"	"17"	"1.5"	"-9.23498"	"-7.86237"	"-10.638"
"52"	"1"	"17.6365"	"1.5"	"-7.67809"	"-20.6782"	"-11.5391"
"53"	"1"	"17"	"1.47932"	"-7.49648"	"-18.6906"	"-10.6225"
"54"	"1.34433"	"17"	"1.5"	"-8.17589"	"-10.2191"	"-10.934"
"55"	"1.70104"	"17.2923"	"1.5"	"-8.69141"	"-9.04508"	"-11.2352"
"56"	"1.49965"	"17"	"1.47709"	"-8.23165"	"-9.23006"	"-10.9449"
"57"	"1.60372"	"17"	"1.5"	"-8.51273"	"-8.81191"	"-10.9541"
"58"	"1"	"17.3183"	"1.49515"	"-7.62593"	"-22.1155"	"-11.1829"
"59"	"1.38505"	"17"	"1.43622"	"-8.2185"	"-9.88844"	"-10.88"
"60"	"1.23343"	"17.1231"	"1.5"	"-7.88008"	"-11.2012"	"-11.0658"
"61"	"1.6784"	"17.1368"	"1.46531"	"-8.6227"	"-9.16304"	"-11.0139"
"62"	"1.59553"	"17"	"1.44743"	"-8.46994"	"-8.81833"	"-10.9236"
"63"	"1.49355"	"17"	"1.5"	"-8.23355"	"-9.27335"	"-10.9629"
"64"	"1.08862"	"17"	"1.4489"	"-7.68043"	"-14.7581"	"-10.646"
"65"	"1.9614"	"17"	"1.48626"	"-9.2049"	"-8.01245"	"-10.7306"
"66"	"1.84991"	"17"	"1.5"	"-9.07932"	"-8.19737"	"-10.8434"
"67"	"1.38938"	"17.5215"	"1.46022"	"-8.38955"	"-10.5589"	"-11.5325"
"68"	"1.58273"	"17"	"1.49524"	"-8.38044"	"-8.85161"	"-10.9392"
"69"	"1.31939"	"17"	"1.45885"	"-8.12719"	"-10.392"	"-10.8845"
"70"	"1.05715"	"17.222"	"1.5"	"-7.81823"	"-18.9133"	"-10.9678"
"71"	"1"	"17.0036"	"1.46041"	"-7.48659"	"-18.6244"	"-10.5906"
"72"	"1.15049"	"17.3758"	"1.46625"	"-7.95213"	"-14.651"	"-11.2846"
"73"	"1.59804"	"17.0974"	"1.49441"	"-8.52329"	"-8.76045"	"-11.0514"
"74"	"1.64854"	"17"	"1.46745"	"-8.57259"	"-8.624"	"-10.906"
"75"	"1.32342"	"17.0827"	"1.45653"	"-8.15928"	"-10.2677"	"-10.9825"
"76"	"1.3002"	"17.3448"	"1.48043"	"-8.19785"	"-11.6623"	"-11.4017"
"77"	"1"	"17"	"1.44202"	"-7.47395"	"-18.5896"	"-10.5491"
"78"	"1.60863"	"17"	"1.4318"	"-8.4869"	"-8.74558"	"-10.9075"
"79"	"1.29072"	"17"	"1.44926"	"-8.06587"	"-10.7084"	"-10.8517"
"80"	"1"	"17.138"	"1.44231"	"-7.66858"	"-22.9534"	"-10.7301"
"81"	"1.61337"	"17.1465"	"1.44383"	"-8.4606"	"-9.38896"	"-11.0075"
"82"	"1.06529"	"17"	"1.45487"	"-7.6536"	"-15.5814"	"-10.6459"
"83"	"1.62155"	"17.2516"	"1.49294"	"-8.51645"	"-9.33809"	"-11.1218"
"84"	"1.12052"	"17.2455"	"1.47324"	"-7.85236"	"-15.8841"	"-11.0071"
"85"	"1.45217"	"17.1971"	"1.46468"	"-8.39327"	"-10.277"	"-11.0985"
"86"	"1.26893"	"17.1701"	"1.44038"	"-8.06682"	"-12.2223"	"-11.0315"
"87"	"1.42021"	"17.1752"	"1.45728"	"-8.35358"	"-10.549"	"-11.0835"
"88"	"1.47322"	"17.0289"	"1.48469"	"-8.37483"	"-9.32306"	"-10.9642"
"89"	"1.25783"	"17"	"1.43862"	"-8.01649"	"-11.083"	"-10.8334"
"90"	"1.52324"	"17.2281"	"1.45629"	"-8.34324"	"-9.81265"	"-11.1394"
"91"	"1.48292"	"17.2449"	"1.44732"	"-8.27261"	"-10.0527"	"-11.174"
"92"	"1.28636"	"17.4347"	"1.45062"	"-8.16219"	"-11.6685"	"-11.4505"
"93"	"1.37106"	"17"	"1.46115"	"-8.22236"	"-9.98448"	"-10.9122"
"94"	"1.59096"	"17.3489"	"1.46536"	"-8.5176"	"-9.42725"	"-11.3556"
"95"	"1.48321"	"17.257"	"1.5"	"-8.30038"	"-10.0753"	"-11.2286"
